group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,min_survey_date,max_survey_date,target_assemblage,species_code,size_bin,total,num_plots_sampled,method_code,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,site_type,last_updated
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,160,6,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,80,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,120,5,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,170,5,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,130,10,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,180,2,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,140,16,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,40,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,150,7,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
CACS,Otter Rock; Peterson Bay,PBOR,59.57450104,-151.29520,59.57450104,-151.29520,1100,2014,NONE,NONE,NONE,2014-07-28,2014-07-28,sea_star,EVATRO,70,1,1,IP,Alaska,AK Southcentral,Alaska to British Columbia,NONE,NONE,NONE,NONE,Mainland,intertidal,2023-10-26 13:00:46
