lumping_code,lumping_name,marine_species_definition,WoRMS_AphiaID,kingdom,phylum,class,order,family,genus,species,load_date
ANTELE,Anthopleura elegantissima/sola,anthopleura elegantissima/sola; may also include a. xanthogrammica at some sites,100696,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,NULL,2023-10-24
ARTCOR,Articulated Corallines,erect; jointed; calcified; red algae of the Family Corallinaceae; with flexible; articulate fronds arising from crustose bases,143691,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,NULL,NULL,2023-10-24
ASTSER,Astrometis sertulifera,astrometis sertulifera,255044,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Astrometis,Astrometis sertulifera,2023-10-24
BARNAC,Barnacles,any species of barnacle; used for transects where species are not distinguished; also used in early photoplot data?,106033,Animalia,Arthropoda,Thecostraca,Sessilia,NULL,NULL,NULL,2023-10-24
CAUUST,Caulacanthus okamurae,caulacanthus ustulatus,145606,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Caulacanthaceae,Caulacanthus,Caulacanthus ustulatus,2023-10-24
CHITON,Chitons,any species of chiton,55,Animalia,Mollusca,Polyplacophora,NULL,NULL,NULL,NULL,2023-10-24
CHOCAN,Chondracanthus canaliculatus,chondracanthus canaliculatus,371723,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Chondracanthus canaliculatus,2023-10-24
CHTBAL,Chthamalus spp/Balanus glandula,chthamalus dalli/fissus/balanus glandula; includes semibalanus balanoides for Sitka AK sites only;  used for photoplots scored in the lab,106033,Animalia,Arthropoda,Thecostraca,Sessilia,NULL,NULL,NULL,2023-10-24
CLACOL,Cladophora columbiana,cladophora columbiana,371784,Plantae,(Division) Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora columbiana,2023-10-24
COLLEA,Colpomenia/Leathesia spp,colpomenia/leathesia spp,842,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,NULL,NULL,NULL,2023-10-24
CRUCOR,Crustose Corallines,thin; flattened; calcified; crust-like red algae of the Family Corallinaceae; having no erect; articulated fronds. Bleached crustose corallines (white) are scored as well because they may be alive,143691,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,NULL,NULL,2023-10-24
DERIMB,Dermasterias imbricata,dermasterias imbricata,240771,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Dermasterias imbricata,2023-10-24
DIDVEX,Didemnum vexillum,didemnum vexillum,250126,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,Didemnum vexillum,2023-10-24
EGRMEN,Egregia menziesii,egregia menziesii,372502,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,Egregia menziesii,2023-10-24
EISARB,Eisenia arborea,eisenia arborea,371990,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,Eisenia arborea,2023-10-24
