species_code,marine_species_name,marine_species_definition,WoRMS_AphiaID,taxonomic_source,kingdom,phylum,class,order,family,genus,species,load_date
ACAPUN,acanthinucella punctulata,prev. acanthina punctulata; currently acanthinucella punctulata,580790,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,Acanthina punctulata,10/24/2023
ACASPI,acanthinucella spirata,prev. acanthina spirata; currently acanthinucella spirata,580791,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,Acanthina spirata,10/24/2023
ACASPP,acanthinucella spp,acanthinucella spp,403857,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,NULL,10/24/2023
ACRSPP,acrosiphonia spp; cladophora spp,acrosiphonia/cladophora spp (not c. columbiana),146216,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Chlorophyta,Ulvophyceae,NULL,NULL,NULL,NULL,10/24/2023
AHNLIN,ahnfeltiopsis linearis,ahnfeltiopsis linearis,372234,World Register of Marine Species: www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,Ahnfeltiopsis linearis,10/24/2023
ALAMAR,alaria marginata,alaria marginata,371791,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,Alaria marginata,10/24/2023
ALISPP,alia spp,alia spp,512256,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,NULL,10/24/2023
ALLCRU,all crustose algae,crustose forms of all green; brown and red algae; including coralline crusts,3,World Register of Marine Species: www.marinespecies.org,Plantae,NULL,NULL,NULL,NULL,NULL,NULL,10/24/2023
AMPSPP,amphissa spp,amphissa spp,137801,World Register of Marine Species: www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,NULL,10/24/2023
ANAJAP,analipus japonicus,analipus japonicus,371891,World Register of Marine Species: www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,Analipus,Analipus japonicus,10/24/2023
