intertidal_site_name,intertidal_sort_order,latitude,longitude,MARINe_site_code,intertidal_geographic_region,SampleSeason,SamplingSeasonCode,TargetSpecies,graph_classification,size_mm,total
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,15,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,16,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,17,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,18,2
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,19,2
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,21,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,22,4
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,23,2
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,24,7
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,25,2
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,26,8
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,27,7
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,chthamalus/balanus,Nucella spp,29,2
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,fucus,Nucella spp,17,4
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,fucus,Nucella spp,19,4
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,fucus,Nucella spp,20,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,fucus,Nucella spp,21,2
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,fucus,Nucella spp,22,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,fucus,Nucella spp,23,3
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,fucus,Nucella spp,25,2
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,fucus,Nucella spp,27,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,8,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,16,2
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,18,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,19,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,21,2
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,22,4
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,23,3
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,24,5
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,25,3
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,26,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,125,SP12,semibalanus,Nucella spp,28,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,126,SU12,chthamalus/balanus,Nucella spp,17,1
Sage Rock,1720,57.04869843,-135.32314,SAGE,AK,126,SU12,chthamalus/balanus,Nucella spp,18,1
