sample_date,approved_site_name,latitude,longitude,location_filter,disease_present,pisaster_ochraceus,pycnopodia_helianthoides,pisaster_giganteus,pisaster_brevispinus,evasterias,patiria,strongylocentrotus_purpuratus,species_no_disease_evident,species_disease_evident,name,affiliation,add_to_map
2020-08-06,Fraser Point Breakwater; Thetis Island,49.02,-123.7,subtidal,no,no,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata; Mediaster aequalis,NONE (no additional sea stars observed showing disease symptoms);,Andy Lamb,NULL,yes
2019-07-04,False Point,48.86866,-122.75643,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Michael Kyte,Independent,yes
2013-11-03,10 Mile Point,48.4500672,-123.27074,subtidal,yes,species not observed,yes,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,James Hester,,yes
2014-01-01,10 Mile Point,48.4500672,-123.27074,subtidal,yes,species not observed,yes,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata; Henricia spp; Pteraster spp; Solaster spp,NONE,Doug Biffard,,yes
2014-07-11,North Potlatch,47.375356,-123.14972,other,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Mike Petz,NULL,yes
2014-07-13,Auke Bay,58.36,-134.65,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Solaster spp.,NONE (no additional sea stars observed showing disease symptoms),Gus van Vliet,NULL,yes
2016-04-26,Second Beach,47.8908,-124.6272,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Chris Morgan,NatureBridge,yes
2014-03-18,3 Tree Point,47.452483,-122.3792,subtidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Henricia spp,Dermasterias imbricata,,UCSC,yes
2014-04-19,3 Tree Point,47.452483,-122.3792,subtidal,yes,species not observed,no,species not observed,no,yes,species not observed,species not observed,Henricia spp.; Crossaster papposus; Mediaster aequalis,NONE (no additional sea stars observed showing disease symptoms),Mark Nayer,,yes
2015-06-10,3 Tree Point,47.452483,-122.3792,subtidal,yes,species not observed,species not observed,species not observed,no,yes,species not observed,species not observed,Dermasterias imbricata; Henricia spp.; Solaster spp.; Hippasteria spinosa; Mediaster dequalis,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2013-11-30,3 Tree Point,47.452483,-122.3792,subtidal,yes,species not observed,yes,species not observed,no,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),Dermasterias imbricata; Solaster spp,John Gross,,yes
2023-01-21,Sharks Cove,36.95453,-121.974214,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,no,no,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Paul Kele,NULL,yes
2014-11-19,4 Mile Beach,36.965522,-122.12518,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Zoe Fairlie,,yes
2014-07-12,Pleasant Harbor Rd; Brinnon,47.6679,-122.90746,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Beth Karolle,NULL,yes
2017-04-27,4th of July Creek,59.444202,-151.791401,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata; Henricia spp.; Leptasterias spp.; Orthasterias koehleri;,NONE (no additional sea stars observed showing disease symptoms);,Erin McKittrick,,yes
2017-04-28,4th of July Creek,59.444202,-151.791401,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Henricia spp.; Orthasterias koehleri;,NONE (no additional sea stars observed showing disease symptoms);,Erin McKittrick,,yes
2015-02-10,San Francisco ST,37.734675,-122.6166,other,yes,species not observed,species not observed,species not observed,yes,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Sergei E Tavasieff,,yes
2013-12-15,Pacifica ST,37.6805,-122.6315,subtidal,yes,species not observed,species not observed,species not observed,yes,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Sergei E Tavasieff,Commercial Crab Fisherman,yes
2013-10-02,9 Mile Point,49.6033124,-123.79051,subtidal,yes,species not observed,yes,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,Neil McDaniel,,yes
2013-10-24,9 Mile Point,49.6033124,-123.79051,subtidal,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,unknown sea star,Solaster spp,Neil McDaniel,,yes
2014-05-08,9 Mile Point,49.6033124,-123.79051,subtidal,yes,species not observed,species not observed,species not observed,no,species not observed,species not observed,species not observed,Crossaster papposus; Dermasterias imbricata; Henricia spp; Mediaster aequalis; Orthasterias koehleri; Pteraster spp,Luidia spp,Neil McDaniel,,yes
2014-06-01,9 Mile Point,49.6033124,-123.79051,subtidal,yes,species not observed,species not observed,species not observed,no,species not observed,species not observed,species not observed,Dermasterias imbricata; Mediaster aequalis; Orthasterias koehleri,Solaster spp,Neil McDaniel,,yes
2014-07-13,9 Mile Point,49.6033124,-123.79051,subtidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Mediaster aequalis; Orthasterias koehleri; Pteraster spp,NONE,Neil McDaniel,,yes
2014-07-22,9 Mile Point,49.6033124,-123.79051,subtidal,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Mediaster aequalis; Pteraster spp,Crossaster papposus; Pteraster spp; Solaster spp,Neil McDaniel,,yes
2014-08-30,9 Mile Point,49.6033124,-123.79051,subtidal,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,Crossaster papposus,Neil McDaniel,,yes
2016-07-11,9 Mile Point,49.6033124,-123.79051,subtidal,yes,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,Crossaster papposus; Dermasterias imbricata; Henricia spp.; Orthasterias koehleri; Pteraster tesselatus; Solaster spp.; Lophaster spp.; Mediaster aequalis; Stylasterias forreri,Mediaster aequalis; Luidia foliolata,Neil McDaniel,Neil McDaniel Photography and Cinematography,yes
2023-07-11,Cove Beach,37.117695,-122.314206,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Emma Levy,California State Parks,yes
2015-06-03,Abalobadiah Creek,39.5690643,-123.77182,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,no,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Redfield,MARINe (UCSC),yes
2014-02-13,Abalone Cove,33.7377766,-118.37612,intertidal,high,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),,MARINe (UCSC),yes
